feature,coefficient,odds_ratio,absolute_coefficient
categorical__primary_vendor_microweber,-0.7789555667886906,0.4588850358787364,0.7789555667886906
categorical__privileges_required_LOW,-0.7785086413645869,0.45909016910422384,0.7785086413645869
categorical__primary_vendor_Western Digital,-0.7781086124569921,0.45927385518047875,0.7781086124569921
categorical__primary_cwe_CWE-521,-0.7775521385172202,0.4595295002354138,0.7775521385172202
categorical__primary_cwe_CWE-267,-0.7765559557489162,0.45998750369477653,0.7765559557489162
categorical__primary_vendor_Robustel,-0.7756438059467016,0.46040727262226044,0.7756438059467016
categorical__primary_vendor_Akuvox,-0.772569629706764,0.4618248235046838,0.772569629706764
categorical__primary_vendor_PrestaShop,-0.7681882005584666,0.4638527155363171,0.7681882005584666
categorical__primary_vendor_Sielco,-0.7662675308047536,0.4647444795351543,0.7662675308047536
categorical__primary_vendor_gogs,-0.7656827220618488,0.4650163456570975,0.7656827220618488
categorical__primary_vendor_WWBN,-0.7571528765475466,0.4689998283405493,0.7571528765475466
categorical__primary_vendor_Octopus Deploy,-0.755788056782111,0.4696403655857716,0.755788056782111
categorical__primary_cwe_CWE-330,-0.7548343972711027,0.47008845621615136,0.7548343972711027
categorical__primary_vendor_pimcore,-0.7509011268834974,0.471941082271705,0.7509011268834974
categorical__attack_complexity_LOW,-0.7460794602988523,0.47422211959952965,0.7460794602988523
categorical__primary_cwe_CWE-89,-0.7456194450833327,0.4744403191737957,0.7456194450833327
categorical__primary_vendor_Devolutions,-0.7449296299391338,0.4747677081969512,0.7449296299391338
categorical__primary_vendor_Yifan,-0.7361828759585162,0.47893859882421314,0.7361828759585162
categorical__primary_cwe_CWE-457,-0.7350139642743312,0.47949876307587347,0.7350139642743312
categorical__primary_vendor_OpenSSL,-0.7312463276606604,0.481308747712969,0.7312463276606604
categorical__primary_vendor_Splunk,-0.729583930598849,0.48210953939343965,0.729583930598849
categorical__primary_vendor_TCL,-0.7247667188685513,0.48443756591831405,0.7247667188685513
categorical__primary_cwe_CWE-1336,-0.7241512385085508,0.48473581950097916,0.7241512385085508
categorical__primary_vendor_Dataprobe,-0.7232030511443498,0.48519565785201074,0.7232030511443498
categorical__primary_vendor_Open Babel,-0.7129401934633363,0.49020079139167017,0.7129401934633363
categorical__primary_vendor_Combodo,-0.7124285463777664,0.4904516653719273,0.7124285463777664
categorical__primary_vendor_Emerson,-0.7121226906191921,0.49060169578074636,0.7121226906191921
categorical__primary_cwe_CWE-252,-0.7116253824795633,0.4908457366741055,0.7116253824795633
categorical__primary_vendor_Canonical,-0.7088999180699748,0.4921853439567607,0.7088999180699748
categorical__primary_cwe_CWE-259,-0.7081836997616912,0.4925379823791442,0.7081836997616912
categorical__primary_vendor_Hitachi Energy,-0.7075762938428886,0.49283724374223714,0.7075762938428886
categorical__primary_vendor_shopware,-0.7062865096604684,0.4934733075280518,0.7062865096604684
categorical__primary_cwe_CWE-256,-0.7051060277549304,0.49405618781057914,0.7051060277549304
categorical__primary_cwe_CWE-384,-0.7045870810328823,0.4943126431873342,0.7045870810328823
categorical__primary_cwe_CWE-704,-0.7045408247365341,0.49433550878828103,0.7045408247365341
categorical__primary_cwe_CWE-697,-0.7028742525457422,0.4951600414809341,0.7028742525457422
categorical__primary_cwe_CWE-922,-0.6975419988108192,0.4978074124155761,0.6975419988108192
categorical__primary_vendor_GE,-0.6955217366745151,0.49881413045681455,0.6955217366745151
categorical__primary_vendor_getgrav,-0.6877579812931393,0.5027018735615998,0.6877579812931393
categorical__primary_vendor_Odoo,-0.685943547631408,0.5036148207533987,0.685943547631408
categorical__primary_vendor_Go standard library,-0.6829845784441324,0.5051072083658606,0.6829845784441324
"categorical__primary_vendor_Contec Co., Ltd.",-0.6827136146587349,0.5052440926715783,0.6827136146587349
categorical__primary_vendor_PTC,-0.6757304037680542,0.5087846666211919,0.6757304037680542
categorical__primary_cwe_CWE-617,-0.6745991406976708,0.5093605616082663,0.6745991406976708
categorical__primary_cwe_CWE-359,-0.674040431095525,0.5096452257598837,0.674040431095525
categorical__primary_vendor_Rexroth,-0.670808478095378,0.5112950398009118,0.670808478095378
categorical__primary_vendor_froxlor,-0.6632731789907409,0.5151623532392167,0.6632731789907409
categorical__primary_vendor_Micro Focus,-0.6629451541392155,0.5153313670124929,0.6629451541392155
categorical__primary_vendor_Rapid7,-0.6625919027147853,0.5155134407089466,0.6625919027147853
categorical__primary_vendor_Chamilo,-0.6605694385863429,0.5165571031797187,0.6605694385863429
categorical__primary_cwe_CWE-16,-0.6598492523847425,0.5169292544707945,0.6598492523847425
categorical__primary_cwe_CWE-203,-0.6563770953038076,0.5187272336687988,0.6563770953038076
categorical__primary_vendor_SourceCodester,-0.6502913212900036,0.5218937158622532,0.6502913212900036
categorical__primary_vendor_GitHub,-0.6468055417577502,0.5237160966585971,0.6468055417577502
