coverage,efficiency,threshold
0.9997484403300463,0.4403838482336776,0.024347803697796724
0.9997484403300463,0.4403936082976884,0.024407275195122362
0.9997484403300463,0.44040336879432623,0.024581233738844636
0.9996981283960555,0.4403909661118376,0.02459704602016596
0.9996981283960555,0.44040072698257904,0.024666930710732445
0.9996981283960555,0.4404104882860119,0.02471426713928166
0.9996981283960555,0.44042025002216506,0.02478701541743223
0.9996981283960555,0.44043001219106725,0.02502290634334606
0.9996981283960555,0.44043977479274726,0.025079650624707173
0.9996981283960555,0.44044953782723384,0.02514880227294748
0.9996981283960555,0.4404593012945558,0.025408494146346272
0.9996981283960555,0.4404690651947419,0.02553540091993419
0.9996981283960555,0.44047882952782086,0.02569324718527236
0.9996981283960555,0.44048859429382164,0.02569550358859132
0.9996981283960555,0.4404983594927729,0.025874984423664506
0.9996981283960555,0.4405081251247035,0.025972798571712037
0.9996981283960555,0.4405178911896422,0.026070631972683837
0.9996981283960555,0.44052765768761776,0.026075841410042516
0.9996981283960555,0.4405374246186591,0.026174012870731143
0.9996981283960555,0.44054719198279496,0.026205749803196156
0.9996981283960555,0.4405569597800541,0.0263055457330947
0.9996981283960555,0.4405862657708597,0.02646097898595135
0.9996981283960555,0.44059603530090025,0.02653106948871235
0.9996981283960555,0.4406058052642083,0.02660576405733247
0.9996981283960555,0.4406155756608125,0.02663436136859706
0.9996981283960555,0.44062534649074175,0.026905932220498946
0.9996981283960555,0.4406351177540249,0.02706783495430995
0.9996981283960555,0.4406448894506908,0.027096379553331083
0.9996981283960555,0.4406546615807682,0.0271476974642019
0.9996981283960555,0.440664434144286,0.027148127687197095
0.9996981283960555,0.44067420714127303,0.02716927947071278
0.9996981283960555,0.44068398057175806,0.027249471690314633
0.9996981283960555,0.44069375443577,0.02740601841121475
0.9996981283960555,0.4407035287333378,0.027636726126696813
0.9996981283960555,0.44071330346449006,0.02764213030707996
0.9996981283960555,0.44072307862925586,0.027649433497174716
0.9996981283960555,0.4407328542276639,0.02765155362572801
0.9996981283960555,0.44074263025974314,0.027689958214610056
0.9996981283960555,0.4407524067255224,0.027808363317655828
0.9996981283960555,0.4407621836250305,0.02782530289534328
0.9996981283960555,0.44077196095829635,0.02785824518188814
0.9996981283960555,0.4407817387253488,0.02789508717044449
0.9996981283960555,0.44079151692621676,0.02793837844585753
0.9996981283960555,0.44080129556092906,0.0279838449306173
0.9996478164620648,0.44079866888519137,0.028062619659906796
0.9996478164620648,0.44080844832941385,0.028114523963158184
0.9996478164620648,0.4408182282075744,0.02813747270454219
0.9996478164620648,0.44082800851970183,0.028141631025031297
0.9996478164620648,0.440837789265825,0.02821148813108516
0.9996478164620648,0.44084757044597295,0.028218111349378797
0.9996478164620648,0.4408573520601744,0.02822355151242698
0.9996478164620648,0.44086713410845835,0.028234336802322724
0.9996478164620648,0.4408769165908536,0.028254940270389387
0.9996478164620648,0.4408866995073892,0.0283618805705954
0.9996478164620648,0.44089648285809385,0.02842159298506682
0.9996478164620648,0.44090626664299665,0.028682660646793073
0.9996478164620648,0.4409160508621264,0.02869449075486886
0.9996478164620648,0.44092583551551195,0.028838288732985357
0.9996478164620648,0.44093562060318237,0.029038922768473557
0.9996478164620648,0.4409454061251665,0.029082682623586254
0.9996478164620648,0.44095519208149314,0.029143170191835682
0.9996478164620648,0.4409649784721914,0.029143628082136712
0.9996478164620648,0.44097476529729007,0.02928402000998701
0.9996478164620648,0.4409845525568182,0.029289674101447644
0.9996478164620648,0.4409943402508046,0.02934747013069465
0.9996478164620648,0.4410041283792782,0.02954103683257575
0.9996478164620648,0.441013916942268,0.029630434119429807
0.9996478164620648,0.4410237059398029,0.029686213237148113
0.9996478164620648,0.44103349537191183,0.029707792988521147
0.9996478164620648,0.44104328523862374,0.029791307685492093
0.9996478164620648,0.4410530755399676,0.029822588971428116
0.9996478164620648,0.4410628662759723,0.029851170449818682
0.9996478164620648,0.4410726574466668,0.029854673937436956
0.9996478164620648,0.4410824490520801,0.029875004653731514
0.9996478164620648,0.4410922410922411,0.029913762172974295
0.999597504528074,0.44107983305212684,0.029916782110472318
0.999597504528074,0.44108962546899627,0.029953720807495525
0.999597504528074,0.44110921160720235,0.029963843535645702
0.999597504528074,0.4411190053285968,0.030020957093737772
0.999597504528074,0.44112879948489087,0.03006976778164586
0.999597504528074,0.4411385940761135,0.03014884270179574
0.999597504528074,0.44114838910229365,0.030207882395382454
0.999597504528074,0.44115818456346034,0.030209145874448628
0.999597504528074,0.4411679804596425,0.030303443792921814
0.999597504528074,0.4411777767908691,0.030362883543988525
0.999597504528074,0.4411875735571692,0.030382582006768057
0.999597504528074,0.4411973707585717,0.030384803521746283
0.999597504528074,0.4412071683951056,0.030420098389083737
0.999597504528074,0.4412169664667999,0.03044215971210118
0.9994968806600926,0.4411921471084658,0.030639952737376182
0.9994968806600926,0.44120194549936703,0.030649861873123716
0.9994968806600926,0.4412117443255008,0.03066827853023775
0.9994968806600926,0.4412215435868962,0.030711390894136954
0.9994968806600926,0.4412313432835821,0.030832655002066195
0.9994968806600926,0.44124114341558757,0.030899889911152667
0.9994968806600926,0.4412509439829417,0.031013911447923117
0.9994968806600926,0.44126074498567336,0.031039959630279144
0.9994968806600926,0.44127054642381164,0.031103055031398767
0.9994968806600926,0.44128034829738555,0.03127980427727466
0.9994968806600926,0.44129015060642407,0.0314053860033514
0.9994968806600926,0.4412999533509563,0.03166565843156397
0.9994968806600926,0.4413097565310112,0.03168685022311636
0.9994968806600926,0.4413195601466178,0.03176572070506407
0.9994968806600926,0.4413293641978051,0.031834195908354755
0.9994968806600926,0.4413391686846022,0.031840043083244944
0.9994968806600926,0.4413489736070381,0.03188346716894646
0.9994968806600926,0.44135877896514186,0.03201737805565662
0.9994968806600926,0.4413685847589425,0.03205372442296093
0.9994968806600926,0.441378390988469,0.03205991246578866
0.9994968806600926,0.4413881976537504,0.03213733640607831
0.9994968806600926,0.44139800475481594,0.03215357363773429
0.9994968806600926,0.44140781229169446,0.032273198116858755
0.9994968806600926,0.44141762026441506,0.032363062226223926
0.9994968806600926,0.4414274286730068,0.03239928964335983
0.9994968806600926,0.44143723751749886,0.03240478390465775
0.9994968806600926,0.4414470467979201,0.032477209239815355
0.9994968806600926,0.44145685651429967,0.032480609456904404
0.9994968806600926,0.4414666666666667,0.032511617713881356
0.9994968806600926,0.4414764772550501,0.03259177223609739
0.9994968806600926,0.4414862882794791,0.03276827489578701
0.9994968806600926,0.44149609973998266,0.032871341934644624
0.9994968806600926,0.4415059116365899,0.03288381968670182
0.9994968806600926,0.4415157239693299,0.03291226060593658
0.9994968806600926,0.44152553673823175,0.033084371711593896
0.9994968806600926,0.4415353499433245,0.033120432041584366
0.9994968806600926,0.44154516358463725,0.03314227372986251
0.9994968806600926,0.4415549776621991,0.033176162549192936
0.9994465687261018,0.44154256501444766,0.03329702009956952
0.9994465687261018,0.4415523794705372,0.033338329378113395
0.9994465687261018,0.44156219436294125,0.03334956612924442
0.9994465687261018,0.4415720096916887,0.0333709624840488
0.9994465687261018,0.4415818254568088,0.03337153121734651
0.9994465687261018,0.44159164165833054,0.033412824445268045
0.9994465687261018,0.4416014582962831,0.033511163901249065
0.9994465687261018,0.4416112753706956,0.033577817824209454
0.9994465687261018,0.44162109288159707,0.033660751826592616
0.9994465687261018,0.4416309108290167,0.033720206904106056
0.9994465687261018,0.44164072921298353,0.03373336606775772
0.9994465687261018,0.44165054803352677,0.0337530628075516
0.9994465687261018,0.4416603672906754,0.033756531516174096
0.9992956329241296,0.4416231239577543,0.03378123420110117
0.9992956329241296,0.4416329434784542,0.033836441406429114
0.9992956329241296,0.4416427634358393,0.03398636399299859
0.9992453209901389,0.441630347771947,0.03405152861796577
0.9992453209901389,0.4416401681083365,0.03407753093094898
0.9992453209901389,0.44164998888147655,0.03415459044849303
